file	BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	AT_DROPOUT	GC_DROPOUT	SAMPLE	LIBRARY	READ_GROUP
Trifolium_106_T106_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	33598772	33598772	33598772	1	1	29189081	0.868754	2932585371	851623514	343069424	1737892433	851623514	0.407386	0.592614	0.712839	1394.255019	1414.519874	0.250959	0.250959	257.531716	0.005263	2.210187	0.993806	0.984661	0.979079	0.976337		0	0	0	6.159139	6.077261			NA
Trifolium_110_T107_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	32071156	32071156	32071156	1	1	26651659	0.831016	2679846261	809419955	329678402	1540747904	809419955	0.425061	0.574939	0.71058	1325.160492	1343.294512	0.249884	0.249884	267.853774	0.004605	2.173616	0.994594	0.985977	0.983977	0.982436		0	0	0	5.36267	6.642237			NA
Trifolium_111_T108_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	24105613	24105613	24105613	1	1	21708301	0.90055	2183131227	680049671	279567091	1223514465	680049671	0.43956	0.56044	0.708668	1113.358957	1128.415003	0.279319	0.279319	276.245069	0.003289	2.24337	0.99372	0.987991	0.984843	0.983104		0	0	0	5.484329	6.840851			NA
Trifolium_112_T109_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	21464302	21464302	21464302	1	1	19081561	0.888991	1918641944	600461069	233520427	1084660448	600461069	0.434673	0.565327	0.719993	983.058647	997.141671	0.276979	0.276979	277.539411	0.005263	2.32434	0.992503	0.984083	0.981226	0.978419		0	0	0	5.740931	6.890332			NA
Trifolium_136_T110_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	23775023	23775023	23775023	1	1	21264946	0.894424	2138917759	679861356	258423645	1200632758	679861356	0.438673	0.561327	0.724579	1113.050652	1128.727901	0.283125	0.283125	281.877241	0.005263	2.275661	0.993034	0.983675	0.980971	0.978478		0	0	0	5.462486	7.078014			NA
Trifolium_198_T111_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	30548019	30548019	30548019	1	1	27837453	0.911269	2799975490	846174769	368521346	1585279375	846174769	0.433824	0.566176	0.696614	1385.334481	1404.779563	0.274256	0.274256	268.002956	0.004934	2.233354	0.994492	0.985315	0.982082	0.980202		0	0	0	4.893851	7.350906			NA
Trifolium_47_T112_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	27758405	27758405	27758405	1	1	24108056	0.868496	2424023170	681638759	315211037	1427173374	681638759	0.411238	0.588762	0.683793	1115.960569	1131.331591	0.24313	0.24313	249.374046	0.004605	2.142673	0.994975	0.986471	0.983266	0.981794		0	0	0	4.761786	7.211103			NA
Trifolium_48_T113_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	26666184	26666184	26666184	1	1	23235986	0.871365	2335947440	667396602	286728873	1381821965	667396602	0.408453	0.591547	0.699485	1092.643694	1108.625859	0.2478	0.2478	253.369694	0.006908	2.115698	0.993018	0.983874	0.981165	0.979754		0	0	0	5.457864	6.319258			NA
Trifolium_57_T114_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	24852039	24852039	24852039	1	1	22101746	0.889333	2221955345	622533429	260963067	1338458849	622533429	0.397621	0.602379	0.704625	1019.194919	1033.807431	0.248016	0.248016	248.462638	0.005263	2.162777	0.993786	0.98535	0.983053	0.981281		0	0	0	5.516573	6.397827			NA
Trifolium_63_T115_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	40687233	40687233	40687233	1	1	36323497	0.892749	3652462034	1034163683	430902970	2187395381	1034163683	0.401118	0.598882	0.705882	1693.104854	1715.836032	0.251657	0.251657	251.094566	0.003947	2.131473	0.996661	0.984437	0.980303	0.978954		0	0	0	5.022709	6.322025			NA
Trifolium_N102_T116_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	18093424	18093424	18093424	1	1	15499145	0.856618	1559390124	524482041	209841804	825066279	524482041	0.470905	0.529095	0.714238	858.667834	872.097645	0.287004	0.287004	298.270007	0.006908	2.282978	0.991095	0.98607	0.983039	0.980287		0	0	0	5.638489	6.94045			NA
Trifolium_N185_T117_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	22319544	22319544	22319544	1	1	19812904	0.887693	1991630490	627105757	243474978	1121049755	627105757	0.43712	0.56288	0.72033	1026.68061	1041.869576	0.278185	0.278185	279.232371	0.006908	2.24058	0.99365	0.984926	0.982526	0.97978		0	0	0	5.251484	6.917316			NA
