dir	RunInd	Encode	length	fil1	fil2	ReadNber
82	111012_0263_C03GTACXX_3_SA-PE-009	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_3_SA-PE-009_1.sanfastq.gz	111012_0263_C03GTACXX_3_SA-PE-009_2.sanfastq.gz	30104094
83	111012_0263_C03GTACXX_3_SA-PE-010	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_3_SA-PE-010_1.sanfastq.gz	111012_0263_C03GTACXX_3_SA-PE-010_2.sanfastq.gz	21987384
84	111012_0263_C03GTACXX_3_SA-PE-011	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_3_SA-PE-011_1.sanfastq.gz	111012_0263_C03GTACXX_3_SA-PE-011_2.sanfastq.gz	20582226
87	110802_0249_D0CM0ABXX_1_SA-PE-006	Illumina 1.5	101	110802_0249_D0CM0ABXX_1_SA-PE-006_1.solfastq.gz	110802_0249_D0CM0ABXX_1_SA-PE-006_2.solfastq.gz	23911976
89	110802_0249_D0CM0ABXX_1_SA-PE-007	Illumina 1.5	101	110802_0249_D0CM0ABXX_1_SA-PE-007_1.solfastq.gz	110802_0249_D0CM0ABXX_1_SA-PE-007_2.solfastq.gz	15640198
90	110802_0249_D0CM0ABXX_1_SA-PE-008	Illumina 1.5	101	110802_0249_D0CM0ABXX_1_SA-PE-008_1.solfastq.gz	110802_0249_D0CM0ABXX_1_SA-PE-008_2.solfastq.gz	20849276
9	111020_0145_D070RACXX_4_SA-PE-011	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_4_SA-PE-011_1.sanfastq.gz	111020_0145_D070RACXX_4_SA-PE-011_2.sanfastq.gz	33871032
92	110802_0249_D0CM0ABXX_1_SA-PE-009	Illumina 1.5	101	110802_0249_D0CM0ABXX_1_SA-PE-009_1.solfastq.gz	110802_0249_D0CM0ABXX_1_SA-PE-009_2.solfastq.gz	22914062
99	111012_0263_C03GTACXX_2_SA-PE-006	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_2_SA-PE-006_1.sanfastq.gz	111012_0263_C03GTACXX_2_SA-PE-006_2.sanfastq.gz	27652704
N101	111020_0145_D070RACXX_4_SA-PE-007	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_4_SA-PE-007_1.sanfastq.gz	111020_0145_D070RACXX_4_SA-PE-007_2.sanfastq.gz	26406480
N102	111214_0267_AD067GACXX_1_SA-PE-020	Sanger / Illumina 1.9	101	111214_0267_AD067GACXX_1_SA-PE-020_1.sanfastq.gz	111214_0267_AD067GACXX_1_SA-PE-020_2.sanfastq.gz	20387238
N102	111214_0267_D067GACXX_1_SA-PE-020	Sanger / Illumina 1.9	101	111214_0267_D067GACXX_1_SA-PE-020_1.sanfastq.gz	111214_0267_D067GACXX_1_SA-PE-020_2.sanfastq.gz	17150886
N123	111020_0145_D070RACXX_4_SA-PE-008	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_4_SA-PE-008_1.sanfastq.gz	111020_0145_D070RACXX_4_SA-PE-008_2.sanfastq.gz	33980882
N132	111012_0263_C03GTACXX_3_SA-PE-012	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_3_SA-PE-012_1.sanfastq.gz	111012_0263_C03GTACXX_3_SA-PE-012_2.sanfastq.gz	19392580
N133	111020_0145_D070RACXX_4_SA-PE-009	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_4_SA-PE-009_1.sanfastq.gz	111020_0145_D070RACXX_4_SA-PE-009_2.sanfastq.gz	35332790
N141	111020_0145_D070RACXX_2_SA-PE-001	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_2_SA-PE-001_1.sanfastq.gz	111020_0145_D070RACXX_2_SA-PE-001_2.sanfastq.gz	47970042
N143	111020_0145_D070RACXX_3_SA-PE-005	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_3_SA-PE-005_1.sanfastq.gz	111020_0145_D070RACXX_3_SA-PE-005_2.sanfastq.gz	20330266
N152	111012_0263_C03GTACXX_2_SA-PE-001	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_2_SA-PE-001_1.sanfastq.gz	111012_0263_C03GTACXX_2_SA-PE-001_2.sanfastq.gz	17588242
N153	111020_0145_D070RACXX_2_SA-PE-002	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_2_SA-PE-002_1.sanfastq.gz	111020_0145_D070RACXX_2_SA-PE-002_2.sanfastq.gz	27254154
N163	111020_0145_D070RACXX_2_SA-PE-003	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_2_SA-PE-003_1.sanfastq.gz	111020_0145_D070RACXX_2_SA-PE-003_2.sanfastq.gz	17997160
N181	111020_0145_D070RACXX_5_SA-PE-009	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_5_SA-PE-009_1.sanfastq.gz	111020_0145_D070RACXX_5_SA-PE-009_2.sanfastq.gz	23613982
N184	111020_0145_D070RACXX_2_SA-PE-004	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_2_SA-PE-004_1.sanfastq.gz	111020_0145_D070RACXX_2_SA-PE-004_2.sanfastq.gz	23302516
N185	111214_0267_D067GACXX_1_SA-PE-021	Sanger / Illumina 1.9	101	111214_0267_D067GACXX_1_SA-PE-021_1.sanfastq.gz	111214_0267_D067GACXX_1_SA-PE-021_2.sanfastq.gz	25521652
N191	111012_0263_C03GTACXX_2_SA-PE-002	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_2_SA-PE-002_1.sanfastq.gz	111012_0263_C03GTACXX_2_SA-PE-002_2.sanfastq.gz	31330852
N208	111020_0145_D070RACXX_2_SA-PE-005	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_2_SA-PE-005_1.sanfastq.gz	111020_0145_D070RACXX_2_SA-PE-005_2.sanfastq.gz	25200234
N224	111020_0145_D070RACXX_2_SA-PE-006	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_2_SA-PE-006_1.sanfastq.gz	111020_0145_D070RACXX_2_SA-PE-006_2.sanfastq.gz	23209244
N256	111020_0145_D070RACXX_5_SA-PE-010	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_5_SA-PE-010_1.sanfastq.gz	111020_0145_D070RACXX_5_SA-PE-010_2.sanfastq.gz	57477644
N312	111012_0263_C03GTACXX_2_SA-PE-003	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_2_SA-PE-003_1.sanfastq.gz	111012_0263_C03GTACXX_2_SA-PE-003_2.sanfastq.gz	24063562
N316	111020_0145_D070RACXX_5_SA-PE-011	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_5_SA-PE-011_1.sanfastq.gz	111020_0145_D070RACXX_5_SA-PE-011_2.sanfastq.gz	19829208
N319	110418_0015_707VLAAXX_1_SA-PE-001	Illumina 1.5	75	110418_0015_707VLAAXX_1_SA-PE-001_1.solfastq.gz	110418_0015_707VLAAXX_1_SA-PE-001_2.solfastq.gz	7248050
N322	110418_0015_707VLAAXX_1_SA-PE-002	Illumina 1.5	75	110418_0015_707VLAAXX_1_SA-PE-002_1.solfastq.gz	110418_0015_707VLAAXX_1_SA-PE-002_2.solfastq.gz	4754560
N324	110418_0015_707VLAAXX_1_SA-PE-003	Illumina 1.5	75	110418_0015_707VLAAXX_1_SA-PE-003_1.solfastq.gz	110418_0015_707VLAAXX_1_SA-PE-003_2.solfastq.gz	6573408
N328	111020_0145_D070RACXX_3_SA-PE-006	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_3_SA-PE-006_1.sanfastq.gz	111020_0145_D070RACXX_3_SA-PE-006_2.sanfastq.gz	20676560
N334	111020_0145_D070RACXX_3_SA-PE-007	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_3_SA-PE-007_1.sanfastq.gz	111020_0145_D070RACXX_3_SA-PE-007_2.sanfastq.gz	21616574
N339	111020_0145_D070RACXX_3_SA-PE-008	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_3_SA-PE-008_1.sanfastq.gz	111020_0145_D070RACXX_3_SA-PE-008_2.sanfastq.gz	27198810
N341	111020_0145_D070RACXX_3_SA-PE-009	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_3_SA-PE-009_1.sanfastq.gz	111020_0145_D070RACXX_3_SA-PE-009_2.sanfastq.gz	29459032
N342	111020_0145_D070RACXX_5_SA-PE-012	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_5_SA-PE-012_1.sanfastq.gz	111020_0145_D070RACXX_5_SA-PE-012_2.sanfastq.gz	21214328
