""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"P450_g19_2_3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"Control_g78_4_25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"P450_g64_5_3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"SP_g3_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"PMT_188_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"IR_g10_4_2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"IR_g10_5_3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"IR_g10_7_2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"Gr_g66_5_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"P450_g45_1_3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
