""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"Gr_g2_2_2"	"0.0322"	"2e-04"	"-9e-04"	"0.0169"	"0.0094"	"0.0017"	"0.0082"	"0.0053"	"0.0079"	"0.5341"
"Control_g82_17_3"	"0.0045"	"0.0136"	"0.0179"	"0.0053"	"0.0076"	"0.0027"	"0.0054"	"0.0054"	"0.0076"	"0.5313"
"PMT_649_1_2"	"0.0032"	"0.0474"	"0.004"	"0.0037"	"0.0036"	"0.003"	"0.004"	"0.0034"	"0.0079"	"0.5209"
"Control_g86_4_2"	"0.0033"	"0.0465"	"0.004"	"0.0034"	"0.0036"	"0.0042"	"0.0037"	"0.0026"	"0.0078"	"0.5126"
"PMT_17_1_1"	"0.017"	"1e-04"	"0.005"	"0.0086"	"0.0011"	"0.0015"	"0.0065"	"0.0089"	"0.0051"	"0.5089"
"PMT_18_1_1"	"0.019"	"4e-04"	"0.004"	"0.0097"	"0.001"	"0.0012"	"0.0073"	"0.0093"	"0.0054"	"0.5032"
"PMT_594_1_1"	"0.0066"	"8e-04"	"0.035"	"-0.001"	"0.0062"	"0.0038"	"0.0087"	"-0.001"	"0.0063"	"0.5014"
"Gr_g76_2_3"	"0.0032"	"0.0443"	"0.0038"	"0.003"	"0.0037"	"0.0037"	"0.0038"	"0.0028"	"0.0075"	"0.4893"
"PMT_358_1_1"	"0.0035"	"0.0437"	"0.0034"	"0.0023"	"0.0036"	"0.003"	"0.004"	"0.0023"	"0.0071"	"0.485"
"PMT_359_1_1"	"0.0024"	"0.0447"	"0.003"	"0.003"	"0.0041"	"0.003"	"0.0047"	"0.0028"	"0.0075"	"0.484"
"P450_g11_6_1"	"0.0034"	"0.0447"	"0.0039"	"0.0037"	"0.0039"	"0.0029"	"0.0035"	"0.0026"	"0.0075"	"0.483"
