""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"PMT_125_1_1"	"0"	"0"	"0"	"0"	"1e-04"	"0"	"0"	"-1e-04"	"0"	"0.0178"
"PMT_388_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0177"
"Or_g43_3_1"	"0"	"0"	"0"	"-1e-04"	"-1e-04"	"0"	"1e-04"	"0"	"0"	"0.0174"
"P450_g38_7_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.017"
"PMT_245_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"1e-04"	"0"	"0"	"0.0161"
"PMT_387_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0155"
"Or_g42_2_2"	"0"	"0"	"0"	"0"	"-1e-04"	"0"	"0"	"-1e-04"	"0"	"0.0155"
"Gr_g11_1_3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0151"
"PMT_385_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0151"
"PMT_386_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0146"
"Or_g24_5_1"	"1e-04"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0141"
"Control_g89_4_1"	"-1e-04"	"0"	"2e-04"	"0"	"1e-04"	"0"	"0"	"0"	"0"	"0.0137"
"Control_g176_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0135"
"PMT_509_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1e-04"	"0"	"0.0135"
"Control_g63_3_1"	"0"	"3e-04"	"0"	"0"	"1e-04"	"0"	"1e-04"	"0"	"1e-04"	"0.0125"
"Control_g204_13_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.012"
"Control_g38_2_3"	"0"	"0"	"0"	"2e-04"	"0"	"0"	"0"	"0"	"1e-04"	"0.0118"
"Gr_g72_1_9"	"0"	"0"	"1e-04"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0118"
"Or_g50_2_3"	"0"	"0"	"4e-04"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0111"
"Gr_g17_1_9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0111"
"PMT_511_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0106"
"Gr_g9_1_15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0105"
"PMT_514_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0104"
"Control_g156_6_2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0101"
"Or_g36_2_3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0097"
"PMT_506_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0095"
"PMT_524_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0095"
"Control_g167_11_3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0093"
"PMT_507_1_1"	"0"	"0"	"0"	"0"	"0"	"-1e-04"	"0"	"0"	"0"	"0.0093"
"P450_g18_4_3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0092"
"Control_g78_3_4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0091"
"PMT_510_1_1"	"0"	"0"	"0"	"0"	"0"	"1e-04"	"0"	"0"	"0"	"0.009"
"PMT_512_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0088"
"PMT_318_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0088"
"Control_g87_6_2"	"0"	"0"	"0"	"0"	"1e-04"	"0"	"0"	"0"	"0"	"0.0088"
"PMT_243_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0078"
"Gr_g30_2_2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0074"
"SP_g4_7_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0072"
"Control_g179_2_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.007"
"P450_g10_1_8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0068"
"PMT_490_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0067"
"PMT_448_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0063"
"Or_g18_1_6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0063"
"IR_g11_11_4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0062"
"PMT_446_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.006"
"PMT_327_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0057"
"PMT_571_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0055"
"Or_g44_1_7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0054"
"PMT_321_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0052"
"P450_g31_6_3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0051"
"Control_g209_6_13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0048"
"Control_g114_2_2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0048"
"PMT_447_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0047"
"PMT_255_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0046"
"PMT_445_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0044"
"Gr_g56_4_2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0044"
"Gr_g66_3_2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0037"
"Control_g166_9_4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0035"
"PMT_221_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0033"
"Gr_g62_1_16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0032"
"Control_g131_6_10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0032"
"Control_g111_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0032"
"PMT_273_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.003"
"IR_g10_3_2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0027"
"Gr_g39_5_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0026"
"Or_g37_4_2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0025"
"P450_g64_8_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0023"
"P450_g8_1_2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0014"
"Control_g30_6_31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7e-04"
"Control_g21_6_3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6e-04"
"PMT_651_1_5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4e-04"
"P450_g19_2_2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4e-04"
"PMT_459_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
